AFORE,SIEFORE,Fecha,IRN Promedio,Ranking
  Azteca,Todas,ene-21,6.647386843,8
  Citibanamex,Todas,ene-21,6.94248971,4
  Coppel,Todas,ene-21,7.006502588,3
  Inbursa,Todas,ene-21,6.501217019,9
  Invercap,Todas,ene-21,5.76971428,10
  PensionISSSTE,Todas,ene-21,6.660573209,7
  Principal,Todas,ene-21,6.761706459,6
  Profuturo,Todas,ene-21,7.725826995,1
  SURA,Todas,ene-21,7.314333728,2
  XXI-Banorte,Todas,ene-21,6.894977508,5
  Azteca,Todas,feb-21,6.792851503,7
  Citibanamex,Todas,feb-21,7.174815237,3
  Coppel,Todas,feb-21,7.136331369,4
  Inbursa,Todas,feb-21,6.567871764,9
  Invercap,Todas,feb-21,5.968713303,10
  PensionISSSTE,Todas,feb-21,6.76468333,8
  Principal,Todas,feb-21,6.948463567,6
  Profuturo,Todas,feb-21,7.90038544,1
  SURA,Todas,feb-21,7.573042777,2
  XXI-Banorte,Todas,feb-21,7.064693429,5
  Azteca,Todas,mar-21,6.94736717,7
  Citibanamex,Todas,mar-21,7.368245301,3
  Coppel,Todas,mar-21,7.280407161,4
  Inbursa,Todas,mar-21,6.666395915,9
  Invercap,Todas,mar-21,6.158769556,10
  PensionISSSTE,Todas,mar-21,6.892750117,8
  Principal,Todas,mar-21,7.134875751,6
  Profuturo,Todas,mar-21,8.049558762,1
  SURA,Todas,mar-21,7.80436699,2
  XXI-Banorte,Todas,mar-21,7.220730577,5
  Azteca,Todas,abr-21,7.078988192,7
  Citibanamex,Todas,abr-21,7.545846921,3
  Coppel,Todas,abr-21,7.386174591,4
  Inbursa,Todas,abr-21,6.750128115,9
  Invercap,Todas,abr-21,6.332079703,10
  PensionISSSTE,Todas,abr-21,6.988684048,8
  Principal,Todas,abr-21,7.307059725,6
  Profuturo,Todas,abr-21,8.197288791,1
  SURA,Todas,abr-21,8.014430525,2
  XXI-Banorte,Todas,abr-21,7.380215771,5
  Azteca,Todas,may-21,7.157476301,7
  Citibanamex,Todas,may-21,7.659195999,3
  Coppel,Todas,may-21,7.44700193,5
  Inbursa,Todas,may-21,6.82322829,9
  Invercap,Todas,may-21,6.453309177,10
  PensionISSSTE,Todas,may-21,7.055876527,8
  Principal,Todas,may-21,7.425655444,6
  Profuturo,Todas,may-21,8.295479912,1
  SURA,Todas,may-21,8.170401846,2
  XXI-Banorte,Todas,may-21,7.499805408,4
  Azteca,Todas,jun-21,7.172827781,7
  Citibanamex,Todas,jun-21,7.70811333,3
  Coppel,Todas,jun-21,7.477801302,6
  Inbursa,Todas,jun-21,6.872053223,9
  Invercap,Todas,jun-21,6.511722925,10
  PensionISSSTE,Todas,jun-21,7.090646417,8
  Principal,Todas,jun-21,7.496812974,5
  Profuturo,Todas,jun-21,8.355763972,1
  SURA,Todas,jun-21,8.250324929,2
  XXI-Banorte,Todas,jun-21,7.581201897,4
  Azteca,Todas,jul-21,7.086431492,7
  Citibanamex,Todas,jul-21,7.644971194,3
  Coppel,Todas,jul-21,7.393950846,6
  Inbursa,Todas,jul-21,6.860570552,9
  Invercap,Todas,jul-21,6.460813721,10
  PensionISSSTE,Todas,jul-21,7.040611393,8
  Principal,Todas,jul-21,7.464969768,5
  Profuturo,Todas,jul-21,8.312616898,1
  SURA,Todas,jul-21,8.194777345,2
  XXI-Banorte,Todas,jul-21,7.563837216,4
  Azteca,Todas,ago-21,6.95516956,7
  Citibanamex,Todas,ago-21,7.508136456,3
  Coppel,Todas,ago-21,7.259021727,6
  Inbursa,Todas,ago-21,6.844378689,9
  Invercap,Todas,ago-21,6.342555039,10
  PensionISSSTE,Todas,ago-21,6.954408072,8
  Principal,Todas,ago-21,7.370979425,5
  Profuturo,Todas,ago-21,8.194027571,1
  SURA,Todas,ago-21,8.070135489,2
  XXI-Banorte,Todas,ago-21,7.489302214,4
  Azteca,Todas,sep-21,6.869134992,8
  Citibanamex,Todas,sep-21,7.446992691,4
  Coppel,Todas,sep-21,7.156798911,6
  Inbursa,Todas,sep-21,6.817417801,9
  Invercap,Todas,sep-21,6.27712157,10
  PensionISSSTE,Todas,sep-21,6.905524549,7
  Principal,Todas,sep-21,7.328569313,5
  Profuturo,Todas,sep-21,8.147108429,1
  SURA,Todas,sep-21,8.007996159,2
  XXI-Banorte,Todas,sep-21,7.47900924,3
  Azteca,Todas,oct-21,6.843109476,8
  Citibanamex,Todas,oct-21,7.444108586,4
  Coppel,Todas,oct-21,7.113497851,6
  Inbursa,Todas,oct-21,6.829739577,9
  Invercap,Todas,oct-21,6.267815012,10
  PensionISSSTE,Todas,oct-21,6.914988409,7
  Principal,Todas,oct-21,7.340583732,5
  Profuturo,Todas,oct-21,8.164078579,1
  SURA,Todas,oct-21,7.983129656,2
  XXI-Banorte,Todas,oct-21,7.504428817,3
  Azteca,Todas,nov-21,6.894646638,8
  Citibanamex,Todas,nov-21,7.550031857,4
  Coppel,Todas,nov-21,7.134789275,6
  Inbursa,Todas,nov-21,6.844574868,9
  Invercap,Todas,nov-21,6.358577422,10
  PensionISSSTE,Todas,nov-21,7.014759069,7
  Principal,Todas,nov-21,7.457820448,5
  Profuturo,Todas,nov-21,8.270069494,1
  SURA,Todas,nov-21,8.048926896,2
  XXI-Banorte,Todas,nov-21,7.630492974,3
  Azteca,Todas,dic-21,6.946473423,8
  Citibanamex,Todas,dic-21,7.647692626,4
  Coppel,Todas,dic-21,7.131759631,7
  Inbursa,Todas,dic-21,6.851438035,9
  Invercap,Todas,dic-21,6.456652144,10
  PensionISSSTE,Todas,dic-21,7.146187499,6
  Principal,Todas,dic-21,7.571154452,5
  Profuturo,Todas,dic-21,8.354994031,1
  SURA,Todas,dic-21,8.112991778,2
  XXI-Banorte,Todas,dic-21,7.747719665,3
  Azteca,Todas,ene-22,6.975742718,8
  Citibanamex,Todas,ene-22,7.696632747,4
  Coppel,Todas,ene-22,7.143236448,7
  Inbursa,Todas,ene-22,6.862657319,9
  Invercap,Todas,ene-22,6.526821735,10
  PensionISSSTE,Todas,ene-22,7.28642042,6
  Principal,Todas,ene-22,7.65087738,5
  Profuturo,Todas,ene-22,8.400680409,1
  SURA,Todas,ene-22,8.166951535,2
  XXI-Banorte,Todas,ene-22,7.831695814,3
  Azteca,Todas,feb-22,6.970868085,8
  Citibanamex,Todas,feb-22,7.679003382,4
  Coppel,Todas,feb-22,7.141368333,7
  Inbursa,Todas,feb-22,6.845213847,9
  Invercap,Todas,feb-22,6.546436353,10
  PensionISSSTE,Todas,feb-22,7.37722723,6
  Principal,Todas,feb-22,7.669641407,5
  Profuturo,Todas,feb-22,8.390048272,1
  SURA,Todas,feb-22,8.16079242,2
  XXI-Banorte,Todas,feb-22,7.843914476,3
  Azteca,Todas,mar-22,6.912064043,8
  Citibanamex,Todas,mar-22,7.578219553,5
  Coppel,Todas,mar-22,7.070831033,7
  Inbursa,Todas,mar-22,6.82898944,9
  Invercap,Todas,mar-22,6.511134755,10
  PensionISSSTE,Todas,mar-22,7.419320242,6
  Principal,Todas,mar-22,7.624838406,4
  Profuturo,Todas,mar-22,8.302091695,1
  SURA,Todas,mar-22,8.054753411,2
  XXI-Banorte,Todas,mar-22,7.759523051,3
  Azteca,Todas,abr-22,6.81088724,8
  Citibanamex,Todas,abr-22,7.437248203,5
  Coppel,Todas,abr-22,6.955831445,7
  Inbursa,Todas,abr-22,6.783754844,9
  Invercap,Todas,abr-22,6.446239668,10
  PensionISSSTE,Todas,abr-22,7.414869381,6
  Principal,Todas,abr-22,7.549323097,4
  Profuturo,Todas,abr-22,8.18258163,1
  SURA,Todas,abr-22,7.929745042,2
  XXI-Banorte,Todas,abr-22,7.647985225,3
  Azteca,Todas,may-22,6.545467518,9
  Citibanamex,Todas,may-22,7.074714002,6
  Coppel,Todas,may-22,6.698030351,7
  Inbursa,Todas,may-22,6.685940923,8
  Invercap,Todas,may-22,6.194691406,10
  PensionISSSTE,Todas,may-22,7.245270666,5
  Principal,Todas,may-22,7.258752744,4
  Profuturo,Todas,may-22,7.881520241,1
  SURA,Todas,may-22,7.610859865,2
  XXI-Banorte,Todas,may-22,7.333279155,3
  Azteca,Todas,jun-22,6.20370089,9
  Citibanamex,Todas,jun-22,6.622948083,6
  Coppel,Todas,jun-22,6.382686675,8
  Inbursa,Todas,jun-22,6.571536125,7
  Invercap,Todas,jun-22,5.860276175,10
  PensionISSSTE,Todas,jun-22,6.957251412,3
  Principal,Todas,jun-22,6.879960744,5
  Profuturo,Todas,jun-22,7.495061509,1
  SURA,Todas,jun-22,7.203664255,2
  XXI-Banorte,Todas,jun-22,6.929918532,4
  Azteca,Todas,jul-22,5.890172282,9
  Citibanamex,Todas,jul-22,6.198129375,7
  Coppel,Todas,jul-22,6.098985895,8
  Inbursa,Todas,jul-22,6.459255742,6
  Invercap,Todas,jul-22,5.53734383,10
  PensionISSSTE,Todas,jul-22,6.655161898,3
  Principal,Todas,jul-22,6.514436085,5
  Profuturo,Todas,jul-22,7.116008832,1
  SURA,Todas,jul-22,6.807440393,2
  XXI-Banorte,Todas,jul-22,6.545116933,4
  Azteca,Todas,ago-22,5.69173768,9
  Citibanamex,Todas,ago-22,5.957962988,7
  Coppel,Todas,ago-22,5.888374381,8
  Inbursa,Todas,ago-22,6.380599926,4
  Invercap,Todas,ago-22,5.357405102,10
  PensionISSSTE,Todas,ago-22,6.452922838,3
  Principal,Todas,ago-22,6.29235739,6
  Profuturo,Todas,ago-22,6.899223358,1
  SURA,Todas,ago-22,6.580815526,2
  XXI-Banorte,Todas,ago-22,6.323530581,5
  Azteca,Todas,sep-22,5.4183842,9
  Citibanamex,Todas,sep-22,5.63819378,7
  Coppel,Todas,sep-22,5.633880303,8
  Inbursa,Todas,sep-22,6.245831441,3
  Invercap,Todas,sep-22,5.114306889,10
  PensionISSSTE,Todas,sep-22,6.207573991,4
  Principal,Todas,sep-22,6.000330922,6
  Profuturo,Todas,sep-22,6.608884746,1
  SURA,Todas,sep-22,6.286134697,2
  XXI-Banorte,Todas,sep-22,6.042555011,5
  Azteca,Todas,oct-22,5.109400738,9
  Citibanamex,Todas,oct-22,5.269555681,8
  Coppel,Todas,oct-22,5.35425448,7
  Inbursa,Todas,oct-22,6.099097286,2
  Invercap,Todas,oct-22,4.821732231,10
  PensionISSSTE,Todas,oct-22,5.952691291,3
  Principal,Todas,oct-22,5.657497475,6
  Profuturo,Todas,oct-22,6.262626897,1
  SURA,Todas,oct-22,5.92956072,4
  XXI-Banorte,Todas,oct-22,5.704458972,5
  Azteca,Todas,nov-22,4.936688864,9
  Citibanamex,Todas,nov-22,5.073816551,8
  Coppel,Todas,nov-22,5.207054541,7
  Inbursa,Todas,nov-22,6.035460216,2
  Invercap,Todas,nov-22,4.669912675,10
  PensionISSSTE,Todas,nov-22,5.804899331,3
  Principal,Todas,nov-22,5.481760926,6
  Profuturo,Todas,nov-22,6.067931727,1
  SURA,Todas,nov-22,5.74781551,4
  XXI-Banorte,Todas,nov-22,5.522217796,5
  Azteca,Todas,dic-22,4.849363515,9
  Citibanamex,Todas,dic-22,4.99237192,8
  Coppel,Todas,dic-22,5.141043603,7
  Inbursa,Todas,dic-22,6.012316236,1
  Invercap,Todas,dic-22,4.609762536,10
  PensionISSSTE,Todas,dic-22,5.72447132,3
  Principal,Todas,dic-22,5.395963941,6
  Profuturo,Todas,dic-22,5.964227717,2
  SURA,Todas,dic-22,5.670118447,4
  XXI-Banorte,Todas,dic-22,5.441663859,5
  Azteca,Todas,ene-23,4.829560148,9
  Citibanamex,Todas,ene-23,4.992434609,8
  Coppel,Todas,ene-23,5.131287565,7
  Inbursa,Todas,ene-23,6.027546932,1
  Invercap,Todas,ene-23,4.625759854,10
  PensionISSSTE,Todas,ene-23,5.713757654,3
  Principal,Todas,ene-23,5.392758687,6
  Profuturo,Todas,ene-23,5.945129856,2
  SURA,Todas,ene-23,5.692213892,4
  XXI-Banorte,Todas,ene-23,5.445405835,5
  Azteca,Todas,feb-23,4.744376949,9
  Citibanamex,Todas,feb-23,4.885003301,8
  Coppel,Todas,feb-23,5.074347939,7
  Inbursa,Todas,feb-23,6.012052304,1
  Invercap,Todas,feb-23,4.562114302,10
  PensionISSSTE,Todas,feb-23,5.652163878,3
  Principal,Todas,feb-23,5.309155125,6
  Profuturo,Todas,feb-23,5.843588572,2
  SURA,Todas,feb-23,5.603252058,4
  XXI-Banorte,Todas,feb-23,5.363746836,5
  Azteca,Todas,mar-23,4.767569538,9
  Citibanamex,Todas,mar-23,4.919579773,8
  Coppel,Todas,mar-23,5.108448414,7
  Inbursa,Todas,mar-23,6.036810712,1
  Invercap,Todas,mar-23,4.59047561,10
  PensionISSSTE,Todas,mar-23,5.659269801,3
  Principal,Todas,mar-23,5.323455378,6
  Profuturo,Todas,mar-23,5.846344834,2
  SURA,Todas,mar-23,5.657851496,4
  XXI-Banorte,Todas,mar-23,5.396083693,5
  Azteca,Todas,abr-23,4.91147966,9
  Citibanamex,Todas,abr-23,5.094199758,8
  Coppel,Todas,abr-23,5.232127229,7
  Inbursa,Todas,abr-23,6.101127809,1
  Invercap,Todas,abr-23,4.717547919,10
  PensionISSSTE,Todas,abr-23,5.727625236,4
  Principal,Todas,abr-23,5.448890669,6
  Profuturo,Todas,abr-23,5.966620987,2
  SURA,Todas,abr-23,5.850476255,3
  XXI-Banorte,Todas,abr-23,5.552001434,5
  Azteca,Todas,may-23,4.975777493,9
  Citibanamex,Todas,may-23,5.143673562,8
  Coppel,Todas,may-23,5.24824424,7
  Inbursa,Todas,may-23,6.10034428,1
  Invercap,Todas,may-23,4.741236563,10
  PensionISSSTE,Todas,may-23,5.716232472,4
  Principal,Todas,may-23,5.458968458,6
  Profuturo,Todas,may-23,5.974575617,2
  SURA,Todas,may-23,5.905442036,3
  XXI-Banorte,Todas,may-23,5.597716204,5
  Azteca,Todas,jun-23,4.999959162,9
  Citibanamex,Todas,jun-23,5.140317445,8
  Coppel,Todas,jun-23,5.224151386,7
  Inbursa,Todas,jun-23,6.058809776,1
  Invercap,Todas,jun-23,4.758041568,10
  PensionISSSTE,Todas,jun-23,5.705627662,4
  Principal,Todas,jun-23,5.4659925,6
  Profuturo,Todas,jun-23,5.963887429,2
  SURA,Todas,jun-23,5.909257526,3
  XXI-Banorte,Todas,jun-23,5.616161899,5
  Azteca,Todas,jul-23,5.009334689,9
  Citibanamex,Todas,jul-23,5.119047309,8
  Coppel,Todas,jul-23,5.170990459,7
  Inbursa,Todas,jul-23,5.999816776,1
  Invercap,Todas,jul-23,4.76555644,10
  PensionISSSTE,Todas,jul-23,5.682557692,4
  Principal,Todas,jul-23,5.46748085,6
  Profuturo,Todas,jul-23,5.955353632,2
  SURA,Todas,jul-23,5.882978979,3
  XXI-Banorte,Todas,jul-23,5.605967029,5
  Azteca,Todas,ago-23,4.993472108,9
  Citibanamex,Todas,ago-23,5.054042842,8
  Coppel,Todas,ago-23,5.095558344,7
  Inbursa,Todas,ago-23,5.928644723,1
  Invercap,Todas,ago-23,4.742390351,10
  PensionISSSTE,Todas,ago-23,5.64276411,4
  Principal,Todas,ago-23,5.426207702,6
  Profuturo,Todas,ago-23,5.902004883,2
  SURA,Todas,ago-23,5.822310491,3
  XXI-Banorte,Todas,ago-23,5.55560499,5
  Azteca,Todas,sep-23,4.962697122,8
  Citibanamex,Todas,sep-23,4.953199211,9
  Coppel,Todas,sep-23,5.011393103,7
  Inbursa,Todas,sep-23,5.872319435,1
  Invercap,Todas,sep-23,4.70694621,10
  PensionISSSTE,Todas,sep-23,5.593041156,4
  Principal,Todas,sep-23,5.358403567,6
  Profuturo,Todas,sep-23,5.824516159,2
  SURA,Todas,sep-23,5.720144881,3
  XXI-Banorte,Todas,sep-23,5.476917215,5
  Azteca,Todas,oct-23,4.87840255,8
  Citibanamex,Todas,oct-23,4.768671792,9
  Coppel,Todas,oct-23,4.880723425,7
  Inbursa,Todas,oct-23,5.796132452,1
  Invercap,Todas,oct-23,4.618162316,10
  PensionISSSTE,Todas,oct-23,5.527287778,4
  Principal,Todas,oct-23,5.229157157,6
  Profuturo,Todas,oct-23,5.682391388,2
  SURA,Todas,oct-23,5.532499734,3
  XXI-Banorte,Todas,oct-23,5.331757737,5
